id;x;y
409;12.74135441;49.82897576
411;12.72475189;49.90282976
412;12.69456278;49.95688875
413;12.66506576;49.97710299
414;12.61407854;49.99336956
415;12.54043527;50.01174246
416;12.50374882;50.02688784
417;12.45776289;50.02913096
418;12.4413969;50.04950943
419;12.41046613;50.05040446
420;12.38069931;50.07358434
421;12.35903746;50.11672274
422;12.35558833;50.12437317
423;14.44343382;48.9267891
424;14.40590844;48.92667747
425;14.36572589;48.92661463
426;14.3574247;48.91752428
427;14.33130808;48.90460892
428;14.32460602;48.8932027
429;14.34864742;48.88334119
430;14.35086726;48.86400714
431;14.3517086;48.85059537
432;14.34091278;48.82879022
433;14.33480206;48.82792075
434;14.3170264;48.8224267
435;13.82922836;50.64645752
436;13.83870006;50.66158206
437;13.87877287;50.67235854
438;13.92643106;50.70364907
441;14.02970862;50.6581488
442;13.19612624;50.38510856
443;13.258495;50.41175934
444;13.33040417;50.44180356
445;13.41394508;50.46992564
446;13.41394508;50.46992564
447;13.44763185;50.48556527
449;13.57974014;50.52339848
450;13.65826356;50.51121354
451;13.72559692;50.52519985
452;13.75964012;50.54151143
453;13.77208104;50.55405806
454;13.78461735;50.57566441
455;13.77172949;50.60135504
456;13.75491411;50.61747423
457;13.75497068;50.63598549
458;13.80085985;50.64246373
459;12.39954122;50.11408606
460;12.47855238;50.11741654
461;12.51946567;50.12577881
462;12.56724505;50.13965164
463;17.60907866;50.55550704
464;12.60717967;50.15360219
465;12.61563762;50.16470719
467;12.64479233;50.18607385
468;12.67501901;50.18931506
469;12.74557305;50.2141185
470;12.75382784;50.23151998
471;12.83191408;50.22887874
472;12.86668864;50.23548353
473;12.8866005;50.25485076
474;12.93784608;50.28021028
475;12.95776719;50.30171752
476;13.01603184;50.30738778
477;13.05871968;50.34047445
478;13.08222589;50.3594813
479;13.11298687;50.36761907
480;13.15535583;50.36698579
481;16.52661761;49.16402459
482;16.50620468;49.15655961
483;16.48292625;49.15391707
484;16.44673689;49.16103431
485;16.40839957;49.17226509
486;16.38458425;49.1783917
487;16.35866342;49.18748971
488;16.29138118;49.17835982
489;16.25753606;49.18346149
490;16.20372396;49.19242968
491;16.14753657;49.20702038
492;16.06905206;49.22257204
493;15.98207169;49.21181665
494;15.98207169;49.21181665
495;15.88435963;49.21149791
496;15.85285554;49.20888148
497;15.80442364;49.2153202
498;15.77086906;49.24799397
499;15.76352545;49.28197668
500;15.7494538;49.30556086
501;15.74733005;49.32285627
502;15.74145627;49.3435345
503;15.73473404;49.36287028
504;15.71002894;49.36955694
505;15.63178165;49.4025643
506;15.59947485;49.41468883
507;14.73261456;49.20715464
508;14.79985739;49.20826042
509;14.86045918;49.18359443
510;14.88337086;49.16929205
511;14.95122184;49.16440759
512;15.00407052;49.1551859
518;15.21241202;49.23699371
521;15.57224514;50.45039438
522;15.32468248;49.31114019
523;15.35601252;49.31389759
524;15.39822571;49.31751622
